* Setting Type,Number of Bytes,Address,Data
RAM,2,0x9180,0
RAM,2,0x9182,0
RAM,2,0x9184,0
RAM,2,0x9186,0
RAM,2,0x9188,0
RAM,2,0x918a,0
RAM,2,0x918c,0
RAM,2,0x918e,0
RAM,2,0x9190,0
RAM,2,0x9192,0
RAM,2,0x9194,0
RAM,2,0x9196,0
RAM,2,0x9198,0
RAM,2,0x919a,0
RAM,2,0x919c,0
RAM,2,0x919e,0
RAM,2,0x91a0,35507
RAM,2,0x91a2,35507
RAM,2,0x91a4,35507
RAM,2,0x91a6,0
RAM,4,0x91a8,1089421810
RAM,4,0x91ac,1242045546
RAM,2,0x91b0,0
RAM,2,0x91b2,0
RAM,2,0x91b6,64
RAM,2,0x91b8,0
RAM,1,0x91ba,0
RAM,1,0x91bb,0
RAM,1,0x91bc,0
RAM,1,0x91bd,0
RAM,1,0x91be,0
RAM,1,0x91bf,0
RAM,1,0x91c0,0
RAM,1,0x91c1,0
RAM,1,0x91c2,0
RAM,1,0x91c3,0
RAM,2,0x91c6,25390
RAM,2,0x91c8,3032
RAM,2,0x91ca,16383
RAM,2,0x91cc,6379
RAM,2,0x91ce,54406
RAM,2,0x91d0,19142
RAM,2,0x91d2,46274
RAM,2,0x91d4,28203
RAM,2,0x91d6,892
RAM,2,0x91d8,328
RAM,2,0x91da,64931
RAM,2,0x91dc,63093
RAM,2,0x91de,4696
RAM,2,0x91e2,11703
RAM,2,0x91e4,48023
RAM,2,0x91e6,25759
RAM,2,0x91e8,41943
RAM,2,0x91ea,32175
RAM,2,0x91ec,2090
RAM,2,0x91ee,63481
RAM,2,0x91f0,2955
RAM,2,0x91f2,62109
RAM,2,0x91f4,4385
RAM,2,0x91f8,17246
RAM,2,0x91fa,0
RAM,2,0x91fc,0
RAM,2,0x91fe,0
RAM,2,0x9200,0
RAM,2,0x9202,0
RAM,2,0x9204,0
RAM,2,0x9206,0
RAM,2,0x9208,0
RAM,2,0x920a,0
RAM,2,0x920c,0
RAM,2,0x920e,0
RAM,1,0x9211,9
RAM,2,0x9215,500
RAM,1,0x9217,30
RAM,2,0x9218,2434
RAM,1,0x921a,0
RAM,1,0x921b,0
RAM,1,0x921c,0
RAM,1,0x921d,0
RAM,1,0x921e,0
RAM,1,0x9221,0
RAM,1,0x92df,0
RAM,1,0x92e0,0
RAM,1,0x92e1,0
RAM,1,0x92e2,7
RAM,1,0x92e3,0
RAM,1,0x92e4,0
RAM,1,0x92e5,0
RAM,1,0x92e6,0
RAM,1,0x92e7,0
RAM,1,0x92e8,5
RAM,2,0x92e9,0
RAM,1,0x92eb,80
RAM,2,0x923f,2
RAM,1,0x9241,136
RAM,1,0x9242,0
RAM,1,0x9243,0
RAM,1,0x9245,152
RAM,1,0x9246,213
RAM,1,0x9247,86
RAM,1,0x9249,228
RAM,1,0x924a,230
RAM,1,0x924b,226
RAM,2,0x9253,50
RAM,2,0x924d,63488
RAM,1,0x924f,252
RAM,1,0x9250,247
RAM,1,0x9251,244
RAM,1,0x92a1,95
RAM,1,0x92a2,159
RAM,1,0x92a3,0
RAM,1,0x92a4,0
RAM,1,0x929d,0
RAM,1,0x929e,0
RAM,1,0x929f,7
RAM,1,0x92a0,0
RAM,1,0x92ec,13
RAM,1,0x92ed,1
RAM,2,0x92ee,0
RAM,2,0x92f0,0
RAM,1,0x92f2,5
RAM,1,0x92f3,50
RAM,2,0x92f4,100
RAM,2,0x92f6,50
RAM,1,0x92f8,5
RAM,2,0x92f9,0
RAM,2,0x92fb,0
RAM,2,0x92fd,0
RAM,2,0x92ff,0
RAM,2,0x9301,0
RAM,2,0x9303,0
RAM,2,0x9305,0
RAM,2,0x9307,0
RAM,2,0x9309,0
RAM,2,0x930b,0
RAM,2,0x930d,0
RAM,2,0x930f,0
RAM,2,0x9311,0
RAM,2,0x9313,0
RAM,2,0x9315,0
RAM,2,0x9317,0
RAM,2,0x9323,64
RAM,1,0x9319,0
RAM,1,0x931a,236
RAM,1,0x931b,60
RAM,1,0x931c,20
RAM,2,0x931d,3900
RAM,1,0x931f,40
RAM,2,0x9320,3900
RAM,1,0x9322,40
RAM,2,0x9223,0
RAM,2,0x9225,600
RAM,1,0x9227,85
RAM,1,0x9228,5
RAM,1,0x9232,0
RAM,1,0x9233,0
RAM,1,0x9234,0
RAM,1,0x9235,5
RAM,2,0x9229,20
RAM,1,0x922b,5
RAM,2,0x922c,500
RAM,1,0x922e,10
RAM,2,0x922f,2000
RAM,1,0x9231,10
RAM,2,0x91c4,0
RAM,1,0x9255,50
RAM,2,0x9256,73
RAM,1,0x925b,2
RAM,1,0x9258,86
RAM,2,0x9259,73
RAM,1,0x925c,2
RAM,1,0x925d,0
RAM,1,0x925e,10
RAM,1,0x925f,15
RAM,1,0x9260,2
RAM,1,0x9261,3
RAM,2,0x9268,65336
RAM,1,0x9290,10
RAM,1,0x9262,4
RAM,1,0x9263,0
RAM,1,0x9264,3
RAM,1,0x9265,6
RAM,1,0x9266,0
RAM,1,0x9267,2
RAM,1,0x9274,5
RAM,2,0x926a,61536
RAM,1,0x926c,2
RAM,2,0x926d,200
RAM,1,0x926f,0
RAM,1,0x9270,10
RAM,1,0x9271,15
RAM,2,0x9272,200
RAM,1,0x9275,0
RAM,1,0x9276,10
RAM,1,0x9277,15
RAM,2,0x9278,200
RAM,1,0x927a,55
RAM,1,0x927b,2
RAM,1,0x927c,50
RAM,1,0x927d,60
RAM,1,0x927e,2
RAM,1,0x927f,55
RAM,1,0x9280,80
RAM,1,0x9281,2
RAM,1,0x9282,65
RAM,1,0x9283,85
RAM,1,0x9284,2
RAM,1,0x9285,80
RAM,1,0x9286,0
RAM,1,0x9287,2
RAM,1,0x9288,5
RAM,1,0x9289,0
RAM,1,0x928a,2
RAM,1,0x928b,5
RAM,1,0x928c,236
RAM,1,0x928d,2
RAM,1,0x928e,241
RAM,1,0x928f,3
RAM,2,0x9291,60
RAM,1,0x9293,0
RAM,1,0x9294,50
RAM,2,0x9295,1
RAM,2,0x9297,250
RAM,2,0x9299,1800
RAM,2,0x929b,2
RAM,2,0x92a5,1500
RAM,1,0x92a7,2
RAM,2,0x92a8,2200
RAM,1,0x92aa,5
RAM,2,0x92ab,4500
RAM,1,0x92ad,5
RAM,2,0x92ae,100
RAM,1,0x92b0,5
RAM,2,0x92b1,10000
RAM,1,0x92b3,5
RAM,2,0x92b4,33536
RAM,1,0x92b6,5
RAM,1,0x92b7,65
RAM,1,0x92b8,5
RAM,1,0x92b9,85
RAM,1,0x92ba,5
RAM,2,0x92bb,3500
RAM,2,0x92bd,10
RAM,2,0x92bf,500
RAM,1,0x92c1,5
RAM,2,0x92c2,100
RAM,2,0x92c4,3700
RAM,2,0x92c6,50
RAM,2,0x92c8,200
RAM,1,0x92ca,5
RAM,2,0x92cb,20
RAM,1,0x92cd,5
RAM,2,0x92ce,65516
RAM,1,0x92d0,5
RAM,2,0x92d1,100
RAM,1,0x92d3,5
RAM,1,0x92d4,5
RAM,1,0x92d5,5
RAM,1,0x92d6,5
RAM,1,0x9236,0
RAM,2,0x9237,1044
RAM,2,0x9239,13938
RAM,2,0x923b,65535
RAM,2,0x923d,65535
